target,id,date,flag,user,text,loc,latitude,longitude,company_tag
2,1,2023-02-11 09:25:36,DishDash,supergeek4970,"Got my usual order from DishDash, no issues.","Dublin, Ireland",53.3498,-6.2603,DishDash
4,2,2024-05-31 05:04:14,NO_QUERY,eatfan4105,Just got my order from FoodFrenzy - absolutely delicious! #yum,"San Jose, CA, USA",37.3382,-121.8863,FoodFrenzy
2,3,2023-05-31 11:17:31,NO_QUERY,foodqueen7736,MealExpress service felt average today.,"Houston, TX, USA",29.7604,-95.3698,MealExpress
2,4,2024-09-17 23:19:01,DishDash,dailyguru7254,"Pizza arrived from DishDash, as expected.","San Antonio, TX, USA",29.4241,-98.4936,DishDash
2,5,2023-01-15 03:23:45,QuickGrub,happyaddict8087,QuickGrub service felt average today.,"Paris, France",48.8566,2.3522,Unknown
2,6,2024-12-21 02:17:35,EatsNow,nomrunner3910,"Pizza arrived from EatsNow, as expected.","San Antonio, TX, USA",29.4241,-98.4936,EatsNow
2,7,2024-04-03 03:19:15,EatsNow,fastnut8017,EatsNow service felt average today.,"Chicago, IL, USA",41.8781,-87.6298,EatsNow
4,8,2024-07-14 12:06:54,FoodFrenzy,yumaddict8966,Loving the service from FoodFrenzy! So fast and reliable.,"Vienna, Austria",48.2082,16.3738,FoodFrenzy
4,9,2025-03-28 14:00:49,QuickGrub,nomrunner4757,Shoutout to QuickGrub for amazing delivery speed!,"London, UK",51.5074,-0.1278,Unknown
2,10,2024-09-19 23:54:29,MealExpress,superfan1472,"Ordered from MealExpress, it was okay.","Dallas, TX, USA",32.7767,-96.797,MealExpress
4,11,2023-02-09 02:55:18,EatsNow,quicknut4516,Just got my order from EatsNow - absolutely delicious! #yum,"Vienna, Austria",48.2082,16.3738,EatsNow
2,12,2024-11-26 21:28:26,FoodFrenzy,nomking7383,"FoodFrenzy delivery was standard, nothing special.","Madrid, Spain",40.4168,-3.7038,FoodFrenzy
2,13,2023-03-26 11:48:29,DishDash,foodguru9619,"Pizza arrived from DishDash, as expected.","Barcelona, Spain",41.3851,2.1734,DishDash
4,14,2023-01-17 09:52:05,MealExpress,yumqueen2794,Just got my order from MealExpress - absolutely delicious! #yum,"Houston, TX, USA",29.7604,-95.3698,MealExpress
0,15,2025-03-12 05:19:43,EatsNow,happyaddict8753,Really disappointed with EatsNow today. Late delivery.,"San Diego, CA, USA",32.7157,-117.1611,EatsNow
0,16,2024-03-31 20:58:11,DishDash,quickfan6065,Worst experience ever with DishDash. Save your money.,"Houston, TX, USA",29.7604,-95.3698,DishDash
0,17,2023-01-23 07:05:05,DishDash,foodguru3451,Worst experience ever with DishDash. Save your money.,"Phoenix, AZ, USA",33.4484,-112.074,DishDash
4,18,2025-05-02 22:35:43,FoodFrenzy,hungerfan3619,Thanks to FoodFrenzy for making my Labour Day special!,"Houston, TX, USA",29.7604,-95.3698,FoodFrenzy
4,19,2023-07-04 02:13:20,DishDash,superlover9773,"Huge thanks to DishDash, my food arrived hot and fresh.","Dublin, Ireland",53.3498,-6.2603,DishDash
4,20,2023-09-24 13:03:16,MealExpress,nomeater3333,Just got my order from MealExpress - absolutely delicious! #yum,"Amsterdam, Netherlands",52.3676,4.9041,MealExpress
4,21,2025-05-02 12:27:47,NO_QUERY,hungerfan9778,Enjoying a lovely Labour Day with a meal from DishDash.,"Dublin, Ireland",53.3498,-6.2603,DishDash
4,22,2024-04-27 14:55:27,EatsNow,dailyking5852,Loving the service from EatsNow! So fast and reliable.,"Munich, Germany",48.1351,11.582,EatsNow
2,23,2024-07-28 00:27:10,MealExpress,foodqueen749,"MealExpress delivery was standard, nothing special.","Rome, Italy",41.9028,12.4964,MealExpress
4,24,2023-12-27 22:12:51,MealExpress,fastaddict2169,"Huge thanks to MealExpress, my food arrived hot and fresh.","San Jose, CA, USA",37.3382,-121.8863,MealExpress
0,25,2025-04-28 23:41:45,FoodFrenzy,happyaddict3151,"FoodFrenzy messed up my order, very unhappy.","Chicago, IL, USA",41.8781,-87.6298,FoodFrenzy
2,26,2024-10-14 16:18:57,FoodFrenzy,nomgeek517,"FoodFrenzy delivery was standard, nothing special.","Paris, France",48.8566,2.3522,FoodFrenzy
0,27,2025-03-01 01:42:11,FoodFrenzy,superfan4248,"FoodFrenzy messed up my order, very unhappy.","Phoenix, AZ, USA",33.4484,-112.074,FoodFrenzy
4,28,2024-07-28 21:59:24,QuickGrub,happyguru5341,"Huge thanks to QuickGrub, my food arrived hot and fresh.","New York, NY, USA",40.7128,-74.006,Unknown
2,29,2023-07-12 19:58:21,QuickGrub,eatlover6584,"Got my usual order from QuickGrub, no issues.","Chicago, IL, USA",41.8781,-87.6298,Unknown
2,30,2023-08-07 00:31:13,FoodFrenzy,dailyaddict1603,"Ordered from FoodFrenzy, it was okay.","New York, NY, USA",40.7128,-74.006,FoodFrenzy
0,31,2023-11-06 10:11:37,DishDash,foodguru6500,My order from DishDash was cold and soggy.,"Phoenix, AZ, USA",33.4484,-112.074,DishDash
4,32,2025-01-02 09:20:18,DishDash,dailyqueen1886,Loving the service from DishDash! So fast and reliable.,"Philadelphia, PA, USA",39.9526,-75.1652,DishDash
2,33,2023-02-13 01:28:49,MealExpress,hungernut5157,"Ordered from MealExpress, it was okay.","San Antonio, TX, USA",29.4241,-98.4936,MealExpress
2,34,2025-02-06 22:07:18,DishDash,supergeek6103,"Ordered from DishDash, it was okay.","Amsterdam, Netherlands",52.3676,4.9041,DishDash
0,35,2024-08-24 10:35:46,DishDash,eateater4447,"DishDash messed up my order, very unhappy.","New York, NY, USA",40.7128,-74.006,DishDash
2,36,2023-12-13 22:35:35,EatsNow,happyking2685,"Ordered from EatsNow, it was okay.","Los Angeles, CA, USA",34.0522,-118.2437,EatsNow
2,37,2024-02-09 19:58:10,MealExpress,hungerfan7833,"Pizza arrived from MealExpress, as expected.","Philadelphia, PA, USA",39.9526,-75.1652,MealExpress
2,38,2023-07-03 19:02:37,FoodFrenzy,hungergeek5383,"Pizza arrived from FoodFrenzy, as expected.","Chicago, IL, USA",41.8781,-87.6298,FoodFrenzy
4,39,2024-05-07 17:15:28,FoodFrenzy,fastfan7850,Shoutout to FoodFrenzy for amazing delivery speed!,"London, UK",51.5074,-0.1278,FoodFrenzy
2,40,2023-11-06 12:11:59,DishDash,eataddict6154,"Ordered from DishDash, it was okay.","Philadelphia, PA, USA",39.9526,-75.1652,DishDash
2,41,2023-03-09 03:04:57,FoodFrenzy,yumlover6305,"Ordered from FoodFrenzy, it was okay.","San Antonio, TX, USA",29.4241,-98.4936,FoodFrenzy
2,42,2023-10-24 16:19:51,FoodFrenzy,nomrunner6932,FoodFrenzy service felt average today.,"Amsterdam, Netherlands",52.3676,4.9041,FoodFrenzy
2,43,2024-08-22 06:03:54,DishDash,yumqueen1885,"Pizza arrived from DishDash, as expected.","Madrid, Spain",40.4168,-3.7038,DishDash
0,44,2024-06-22 16:26:33,DishDash,foodguru6521,Really disappointed with DishDash today. Late delivery.,"San Antonio, TX, USA",29.4241,-98.4936,DishDash
2,45,2024-09-30 05:19:42,FoodFrenzy,yumguru6194,"FoodFrenzy delivery was standard, nothing special.","Houston, TX, USA",29.7604,-95.3698,FoodFrenzy
2,46,2024-09-02 17:45:50,EatsNow,nomgeek6935,"Ordered from EatsNow, it was okay.","Philadelphia, PA, USA",39.9526,-75.1652,EatsNow
0,47,2025-05-03 18:08:51,MealExpress,yumnut9991,Terrible service by MealExpress. Not ordering again.,"Amsterdam, Netherlands",52.3676,4.9041,MealExpress
0,48,2022-12-30 11:43:02,EatsNow,dailyeater4209,Terrible service by EatsNow. Not ordering again.,"Los Angeles, CA, USA",34.0522,-118.2437,EatsNow
2,49,2024-08-19 10:43:05,DishDash,foodfan8463,"Got my usual order from DishDash, no issues.","Amsterdam, Netherlands",52.3676,4.9041,DishDash
2,50,2025-04-22 00:33:23,MealExpress,fasteater2439,Using MealExpress for my Easter meal today.,"Rome, Italy",41.9028,12.4964,MealExpress
2,51,2024-06-01 13:54:59,EatsNow,dailylover9403,"Pizza arrived from EatsNow, as expected.","Dublin, Ireland",53.3498,-6.2603,EatsNow
2,52,2025-02-15 21:51:01,QuickGrub,quickrunner4746,QuickGrub service felt average today.,"Chicago, IL, USA",41.8781,-87.6298,Unknown
4,53,2025-03-21 14:08:50,EatsNow,nomrunner336,"Huge thanks to EatsNow, my food arrived hot and fresh.","Barcelona, Spain",41.3851,2.1734,EatsNow
0,54,2025-04-19 09:15:52,FoodFrenzy,foodguru4293,Worst experience ever with FoodFrenzy. Save your money.,"London, UK",51.5074,-0.1278,FoodFrenzy
0,55,2024-01-29 13:58:09,FoodFrenzy,eateater3915,"FoodFrenzy messed up my order, very unhappy.","Los Angeles, CA, USA",34.0522,-118.2437,FoodFrenzy
0,56,2023-02-06 17:31:28,FoodFrenzy,eatguru9863,Really disappointed with FoodFrenzy today. Late delivery.,"Madrid, Spain",40.4168,-3.7038,FoodFrenzy
2,57,2025-04-09 12:50:38,DishDash,happyaddict7640,"DishDash delivery was standard, nothing special.","Madrid, Spain",40.4168,-3.7038,DishDash
0,58,2023-04-29 01:10:55,FoodFrenzy,nomeater5307,Really disappointed with FoodFrenzy today. Late delivery.,"Barcelona, Spain",41.3851,2.1734,FoodFrenzy
2,59,2023-07-19 13:57:34,MealExpress,foodlover9997,"Pizza arrived from MealExpress, as expected.","Amsterdam, Netherlands",52.3676,4.9041,MealExpress
0,60,2024-10-28 04:31:35,EatsNow,hungereater6352,Terrible service by EatsNow. Not ordering again.,"Barcelona, Spain",41.3851,2.1734,EatsNow
0,61,2024-06-15 06:53:09,EatsNow,quickguru6088,Really disappointed with EatsNow today. Late delivery.,"Los Angeles, CA, USA",34.0522,-118.2437,EatsNow
0,62,2023-02-15 01:27:20,DishDash,hungerlover8521,Really disappointed with DishDash today. Late delivery.,"Amsterdam, Netherlands",52.3676,4.9041,DishDash
2,63,2023-08-24 03:24:12,MealExpress,dailygeek8309,"MealExpress delivery was standard, nothing special.","Dublin, Ireland",53.3498,-6.2603,MealExpress
0,64,2024-08-02 15:21:59,MealExpress,foodgeek1031,"MealExpress messed up my order, very unhappy.","Chicago, IL, USA",41.8781,-87.6298,MealExpress
0,65,2025-03-21 16:15:52,MealExpress,quicklover8137,Really disappointed with MealExpress today. Late delivery.,"Madrid, Spain",40.4168,-3.7038,MealExpress
